,Anbieter,Aufgaben,Bewerbungsdetail,Email,Frist,Kontakter,Profil vom Anbieter,Profil vom Bewerber,Tele,URL,id,stelle_name,stelle_type
10,Lehrstuhl für Operations Management,"-Mitarbeit (insbesondere Recherche und Datenaufarbeitung) sowie selbstständige Bearbeitung von Aufgabenstellungen in aktuellen Forschungsprojekten des Lehrstuhls
-Unterstützung bei der Vorbereitung von Lehrmaterialien
-Allgemeine Verwaltungsaufgaben",,mailto:larissa.dore@om.rwth-aachen.de,21.04.2017,Lariss Doré,"Der Lehrstuhl für Operations Management beschäftigt sich mit Fragestellungen der Gestaltung und Lenkung von Produktions-, Logistik- und Dienstleistungssystemen. Im Rahmen anwendungsorientierter Forschungsprojekte werden in Kooperation mit Industrieunternehmen Methoden und Werkzeuge des Operations Research zur Unterstützung betrieblicher Entscheidungen entwickelt. ","-Sie haben Interesse an vertiefenden Fragestellungen aus Produktion und Logistik und möchten Einblicke in aktuelle Forschungsprojekte gewinnen
-Sie verfügen über gute Mathematikkenntnisse und erste Erfahrung im Bereich der mathematischen Optimierung oder systemdynamischen Simulation
-Sie verfügen über gute Deutsch- und Englischkenntnisse",+49 241 80-23832,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19497/,19497,,Studentische Hilfskraft
11,IMA/ZLW ,"- Betreuung von Robotik-Kursen auf Basis von LEGO Mindstorms (NXT-G/EV3) für Schülerinnen und Schüler unterschiedlicher Klassenstufen sowie Betreuung der Experimente des DLR Lab
- Unterstützung der Schülerinnen und Schüler bei der Teilnahme an nationalen wie internationalen Roboterwettbewerben 
- technische und didaktische Weiterentwicklung und Konzeption von Roboterkursen und Experimenten
- Mitarbeit bei Robotik-Kursen für blinde und sehbehinderte Schülerinnen und Schüler
- Unterstützung weiterer Projekte in Lehre und Forschung","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 3 Monate. Eine Vetragsverlänergung nach 3 Monaten ist erwünscht.Die regelmäßige Wochenarbeitszeit beträgt 12 - 19 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:sarah.doerfler@ima-zlw-ifu.rwth-aachen.de,24.04.2017,Sarah Dörfler,"Das Cybernetics Lab IMA/ZLW & IfU bildet einen interdisziplinären Forschungsverbund der RWTH Aachen University und ist an der Fakultät für Maschinenwesen beheimatet. Es setzt sich zusammen aus dem Lehrstuhl für Informationsmanagement im Maschinenbau (IMA), dem Zentrum für Lern- und Wissensmanagement (ZLW) und dem An-Institut für Unternehmenskybernetik e.V. (IfU). 
Am Cybernetics werden die beiden Schülerlabore RoboScope und DLR Lab RWTH Aachen University betrieben. Das Ziel der beiden Schülerlabore ist es, bei Schülerinnen und Schülern das Interesse für naturwissenschaftliche und technische Themen zu wecken und ihnen am Beispiel der Robotik Einblicke in verschiedene Disziplinen des MINT-Bereichs (Mathematik, Informatik, Naturwissenschaft & Technik) zu geben. Zugleich bieten die Labore als forschungsnahe Lernumgebungen Schülerinnen und Schülern die Möglichkeit, einen ersten Kontakt zur Universität herzustellen.","- Sie sind Student/in mit einem natur- oder ingenieurwissenschaftlichen Hintergrund oder Lehramtsstudent/in im MINT-Bereich  
- Sie interessieren sich für das interdisziplinäre Themenfeld der Robotik und haben Interesse an der Arbeit mit Schülerinnen und Schülern
- Sie arbeiten gerne eigenverantwortlich im Team und sind bereit sich in neue Aufgaben einzuarbeiten
- Programmierkenntnisse in JAVA sowie Erfahrungen bei der Betreuung von Jugendgruppen sind wünschenswert ",+49 241 80-91183,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19498/,19498,in den Schülerlaboren RoboScope und DLR Lab RWTH Aachen University,Studentische Hilfskraft
12,"E.ON Energy Research Center, Institute for Energy Efficient Buildings and Indoor Climate","Du wirst die Entwicklung einer IoT-Web-App begleiten, die eine datenbasierte Analyse des Gebäudebetriebs per Web-Browser ermöglichen wird. Deine Mitarbeit ist bei der Konzeptentwicklung und Programmierung der Front-End/Back-End Schnittstelle gefragt. Dabei wirst du neben einem Einblick in die Umsetzung von IoT-Projekten und Datenvisualisierung ebenfalls einen Einblick in die Energiesystemtechnik erhalten. Eine flexible Zeiteinteilung und eine Ausrichtung deiner Tätigkeiten auf deine Interessen ist möglich.",,mailto:EBruemmendorf@eonerc.rwth-aachen.de,10.04.2017,Erik Brümmendorf,Am E.ON Energieforschungszentrum der RWTH Aachen beschäftigt sich eine interdisziplinäre Arbeitsgruppe des Instituts Automation of Complex Power Systems aus der Elektrotechnik und dem Institut Energy Efficient Buildings and Indoor Climate aus dem Maschinenbau mit der zunehmenden Einbindung regenerativer Energien durch dezentrale Versorgungskonzepte. Die Arbeit reicht von Grundlagenforschung bis hin zur Entwicklung von Prototypen und Implementierung von Konzepten im Feld. Hierfür sind softwaretechnische Lösungen für ein User-Interface notwendig.,"Du studierst Informatik oder Elektrotechnik und interessierst dich für Web-App Entwicklung mit Fokus auf IoT-Anwendungen. Du solltest sicher im Umgang mit Python - optimalerweise mit dem Django-Framework - sein, über gute Englischkenntnisse verfügen und kannst sowohl eigenständig als auch im Team arbeiten.",+49 241 80-49771,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19499/,19499,,Studentische Hilfskraft
13,Gina Weßel,"- ergebnisorientierte und verantwortungsbewusste Arbeitsweise
- analytisches und logisches Denkvermögen 
- gute Studienleistungen
- Interesse an Fragestellungen im Bereich der Mensch-Technik Interaktion
- sehr gute Englischkenntnisse von Vorteil","Wir zählen auf Ihre Unterstützung sowohl in der Forschung als auch bei der allgemeinem Projektarbeit. Hierzu gehören unter anderem die Recherche von Themenfeldern und Aufbereitung der Ergebnisse, das Betreuen von Probandenstudien, inklusive der Versuchsdurchführung, und die Analyse von Daten.
- Einblicke in die Forschung im Bereich Mensch-Maschine-Systeme
- Weiterentwicklung Ihrer Fähigkeiten in teamorientiertem, positivem Arbeitsklima
- flexible Zeiteinteilung (8 bis 10 Stunden pro Woche)
- Möglichkeit zu selbständigem, eigenverantwortlichem Arbeiten 
- Möglichkeit zur Absolvierung von praxisnahen, interessanten Bachelor- oder Masterarbeiten",mailto:y.canpolat@iaw.rwth-aachen.de,02.04.2017,Yigiterkut Canpolat ,Institut für Arbeitswissenschaft-Systemergonomie,"Sie werden im Bereich Systemergonomie tätig sein und dabei aktiv an laufenden Forschungsprojekten mitarbeiten. Hierbei liegt der Schwerpunkt auf der kooperativen Bewegungsführung von Mensch-Maschine-Systemen, wie z.B. beim teil- und hochautomatisierten Fahren. Dazu werden unter anderem Lösungen für die Mensch-Technik-Interaktion zwischen dem Fahrer und einem intelligenten Fahrzeug weiterentwickelt, in Studien im Fahrsimulator untersucht und anschließend bewertet.",+49 241 80-99472,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19490/,19490,HMI im automatisierten Fahren,Studentische Hilfskraft
14,AMR - Aufbereitung mineralischer Rohstoffe,"Eure Aufgaben können sein:
- Maschinelles Zerkleinern, Klassieren, Sortieren und Entwässern von mineralischen Rohstoffen
- Analysen von mineralischen Rohstoffen
- Unterstützung bei der Instandhaltung von Maschinen und Technikum
- Unterstützung bei der Auswertung von Versuchsergebnissen
- Protokollierung und Verarbeitung von Daten aus Untersuchungsprogrammen
- Literaturrecherche
- Unterstützung in der Lehre
Es sind keine Vorkenntnisse erforderlich.",,mailto:steppuhn@amr.rwth-aachen.de,24.12.2017,Christoph Steppuhn,"Das AMR ist mit 7 Assistenten (m/w) und rund 15 Studierenden ein kleines Lehr- und Forschungsgebiet im Herzen Aachens in der Lochnerstraße. Ausgestattet mit den üblichen Büroräumen, verfügt das AMR außerdem über eine Technikumshalle, in der mineralische Rohstoffe aufbereitet und bewegt werden. Die Studierenden arbeiten bei uns in verschiedenen Bereichen. Die Einsatzgebiete reichen von leichten Bürotätigkeiten mit gängigen Officeprogrammen, bis hin zur Planung und Durchführung von komplexen Aufbereitungsprozessen in unserem Technikum. Da wir grundsätzlich an langfristigen Bechäftigungen interessiert sind, bevorzugen wir Bewerberinnen und Bewerber aus frühen Semestern. Die Arbeitszeit kann flexibel gestaltet werden. ","- freundliches, offenes Auftreten
- Spaß am Arbeiten im Team
- Freude am Arbeiten im Blaumann (Farbe der Arbeitskleidung ist wählbar)
- grundlegendes technisches Verständnis und logisches Denken
- Grundkenntnisse in MS Office
- eingeschriebener Studierender an einer Hoch- oder Fachhochschule",+49 241 80-97247,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19476/,19476,,Studentische Hilfskraft
15,FIR e. V. an der RWTH Aachen,"""Daten sind das Öl des 21. Jahrhunderts."" Aber ohne passende Systeme und Systemarchitekturen können Daten nicht nutzbar gemacht werden. Im Rahmen Ihrer Tätigkeit unterstützen Sie konkrete Forschungs- und Industrieprojekte, die sich dieser Herausforderung annehmen. Sie erarbeiten eigenständig Teilaspekte der Forschungsprojekte und wirken mit Ihrem so angesammelten Fachwissen an Veröffentlichungen mit. Ebenso gehört die Unterstützung des Tagesgeschäfts sowie die Erstellung von Ergebnispräsentationen für Industriepartner zu Ihren Aufgabenfeldern.
Bitte schicken Sie bei Interesse Ihre Unterlagen (kurzes Anschreiben, Lebenslauf, Zeugnisse, aktueller Auszug des Notenspiegels) in digitaler Form an die angegebene E-Mail-Adresse.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Die regelmäßige Wochenarbeitszeit beträgt 8-15 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Gregor.Fuhs@fir.rwth-aachen.de,15.04.2017,"Gregor Fuhs, M.Sc. ","Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- Interessante und anspruchsvolle Aufgaben,
- die Möglichkeit zu praxisnahem Wissenserwerb,
- Zusammenarbeit mit renommierten Unternehmen und Forschungspartnern,
- die Möglichkeit zur selbstständigen Arbeit an Forschungsprojekten,
- die Möglichkeit zu flexibler Zeiteinteilung und eigenständigem Arbeiten,
- die Möglichkeit zur Erstellung einer Bachelor-, Master- oder Studienarbeit, durch uns betreut.","- Studierende aus den Bereichen Maschinen- oder Wirtschaftsingenieurwesen, Informatik, Mathematik oder einer anderen technischen Fachrichtung,
- Begeisterungsfähigkeit für Unternehmens-IT, insbesondere ECM und ERP,
- sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift,
- sicherer Umgang mit MS-Office-Anwendungen,
- engagierte, teamorientierte und selbständige Arbeitsweise,
- Interesse an einer langfristigen Zusammenarbeit.",+49 241 47705-507,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19485/,19485,Büro 4.0 - Unternehmenssoftware der Zukunft,Studentische Hilfskraft
16,Fraunhofer-Institut für Produktionstechnologie IPT,"- Unterstützung beim Aufbau von biotechnologischen Anlagen
- Eigenständige Mitarbeit an Entwurf und Umsetzung von mechanischen Baugruppen
- Elektrotechnische Verkabelung und Programmierung selbst entwickelter Komponenten auf einer SPS","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 3 Monate. Eine langfristige Zusammenarbeit ist gewünscht.Die regelmäßige Wochenarbeitszeit beträgt 12 Stunden. Die Arbeitszeit kann flexibel eingeteilt werden.Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:michael.kulik@ipt.fraunhofer.de,21.04.2017,Michael Kulik,"Das Fraunhofer IPT erarbeitet Systemlösungen für die vernetzte, adaptive Produktion. Unsere Auftraggeber und Kooperationspartner kommen aus der gesamten produzierenden Industrie - aus der Luft- und Raumfahrttechnik, dem Automobilbau und seinen Zulieferern, dabei vor allem aus dem Werkzeug- und Formenbau, der feinmechanischen und optischen Industrie, aber auch aus den Life Sciences und vielen anderen Branchen.
Was wir bieten:
- Ideale Rahmenbedingungen für Praxiserfahrungen neben dem Studium
- Möglichkeit zur fachlichen und persönlichen Weiterbildung in einem interdisziplinären Team
- Gestaltungsmöglichkeiten und eigenständige Umsetzung deiner Ideen in praxisnahen Projekten","- Du studierst Maschinenbau, Mechatronik, Elektrotechnik oder ein vergleichbares technisches Fach und begeisterst dich für technologische Herausforderungen
- Du hast ein tiefgreifendes mechanisches Verständnis, Erfahrung in der Konstruktion und beherrschst den Umgang mit INVENTOR oder einer ähnlichen Konstruktionssoftware
- Du kennst dich mit Elektrotechnik aus und hast Kenntnisse in der SPS-Programmierung
- Du hast ein hohes Maß an Eigeninitiative, Verantwortungsbewusstsein, Kreativität und Teamgeist
- Du hast gute Sprachkenntnisse in Deutsch und Englisch",+49 241 8904-411,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19489/,19489,Anlagenentwicklung im Life Scienes Engineering,Studentische Hilfskraft
17,FIR e. V. an der RWTH Aachen,"Zu Ihren Aufgaben gehört die Unterstützung in aktuellen, praxisnahen Industrie- und Forschungsprojekten auf nationaler und auf EU-Ebene im Kontext von Industrie 4.0. Sie bearbeiten eigenständig Teilaspekte und recherchieren wissenschaftliche Texte. Zusätzlich wirken Sie an Veröffentlichungen mit und unterstützen das Tagesgeschäft durch das Erstellen von Präsentationen, Kalkulationen und Dokumenten.
Im Einzelnen mit den folgenden Aufgaben: 
- Mitarbeit an wissenschaftlichen und praxisbezogenen Veröffentlichungen,
- Unterstützung von Industrie- und Forschungsprojekten,
- eigenständige Recherche wissenschaftlicher Texte und Aufbereitung von Literatur,
- Unterstützung im Tagesgeschäft,
- Dokumentation von Ergebnissen.
Bitte schicken Sie bei Interesse Ihre Unterlagen (kurzes Anschreiben, Lebenslauf, Zeugnisse, aktueller Auszug des Notenspiegels) in digitaler Form an die angegebene E-Mail-Adresse.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Die regelmäßige Wochenarbeitszeit beträgt 10-19 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Sebastian.Schmitz@fir.rwth-aachen.de,15.04.2017,"Sebastian Schmitz, M.Sc.","Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- Interessante und anspruchsvolle Aufgaben,
- die Möglichkeit zu praxisnahem Wissenserwerb,
- Zusammenarbeit mit renommierten Unternehmen und Forschungspartnern,
- die Möglichkeit zu flexibler Zeiteinteilung und eigenständigem Arbeiten.","- Studierende(-r) aus den Bereichen Maschinen- oder Wirtschaftsingenieurwesen,
- sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift,
- sicherer Umgang mit MS-Office-Anwendungen,
- engagierte, teamorientierte und selbständige Arbeitsweise,
- beabsichtigte Mindestdauer des Engagements: 1 Jahr.",+49 241 47705-505,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19475/,19475,Industrie 4.0,Studentische Hilfskraft
18,Faber,"-gute / sehr gute Kenntnisse im Programmieren (idealerweise C++)
-technisches Verständnis und Spaß am Entwickeln
-Analytisches und logisches Denkvermögen
-Interesse an Fragestellungen im Bereich der Mensch-Technik Interaktion",,mailto:h.petruck@iaw.rwth-aachen.de,15.04.2017,Petruck,Institut für Arbeitswissenschaft,"-Einblicke in die Forschung im Bereich Mensch-Maschine-Systeme
-Weiterentwicklung Ihrer Fähigkeiten in teamorientiertem, positivem Arbeitsklima
-Flexible Zeiteinteilung (ab 10 Stunden pro Woche)
-Möglichkeit zum selbständigen, eigenverantwortlichen Arbeiten 
-Möglichkeit zur Absolvierung von praxisnahen, interessanten Bachelor- oder Masterarbeiten",+49 241 80-99453,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19467/,19467,,Studentische Hilfskraft
19,Fraunhofer-Institut für Produktionstechnologie IPT,"- Unterstützung bei Beratungsprojekten für Industrieunternehmen aller Größen
- Zuarbeit bei der Recherche und Identifikation von neuen technologischen Ansätzen 
- Mitarbeit bei der Entwicklung von Methoden zur Klassifikation und Bewertung von Merkmalen
- Vor- und Nachbereiten von Projekttreffen","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 3 Monate. Eine längerfristige Zusammenarbeit ist gewünscht. Die regelmäßige Wochenarbeitszeit beträgt 12 Stunden. Die Arbeitszeit kann flexibel eingeteilt werden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:jan.riepe@ipt.fraunhofer.de,21.04.2017,Jan Riepe,"Das Fraunhofer IPT erarbeitet Systemlösungen für die vernetzte, adaptive Produktion. Unsere Auftraggeber und Kooperationspartner kommen aus der gesamten produzierenden Industrie - aus der Luft- und Raumfahrttechnik, dem Automobilbau und seinen Zulieferern, dabei vor allem aus dem Werkzeug- und Formenbau, der feinmechanischen und optischen Industrie, aber auch aus den Life Sciences und vielen anderen Branchen.
Was wir bieten
- Industrienahe Praxiserfahrungen
- Strukturiertes und selbstständiges Arbeiten
- Flexible Arbeitszeitgestaltung
- Möglichkeit zur Anfertigung von Bachelor-, Projekt- und Masterarbeiten","- Du studierst Maschinenbau oder Wirtschaftsingenieurwesen und kannst gute Studienleistungen vorweisen
- Eigeninitiative und Fähigkeit zum selbständigen Arbeiten 
- Motivation und hohe Einsatzbereitschaft 
- Zuverlässigkeit und Flexibilität
- Sehr gute Deutsch- und Englischkenntnisse
- Sehr gute MS-Office Kenntnisse",+49 241 8904-572,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19473/,19473,Beratungsprojekte zur Additiven Fertigung: Qualitätsmessung und -überwachung,Studentische Hilfskraft
